score,unit,stratum,storm,metric,polygon_subset,value_new,value_ref,ci_lo_new,ci_lo_ref,ci_hi_new,ci_hi_ref,n_units_new,n_units_ref,n_polygons_new,n_polygons_ref,score_role_new,score_role_ref,post_hoc_design_new,post_hoc_design_ref,confirmatory_new,confirmatory_ref,_merge
L1,area,ALL,MACRO,capture_0.5,urban,0.959175626645464,0.9591756266454672,0.959175626645464,0.9591756266454672,0.959175626645464,0.9591756266454672,1,1,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc,agricultural,0.4013355268066065,0.4013355268066089,0.4013355268066065,0.4013355268066089,0.4013355268066065,0.4013355268066089,1,1,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc,all,0.6927346623731135,0.6927346623731148,0.5156598530696137,0.5156598530695913,0.8658466628442258,0.8658466628442691,4,4,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc,no_landuse_attr,0.8191191569009412,0.8191191569009326,0.6966974712055012,0.696697471205484,0.8980168396076218,0.8980168396076966,4,4,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc,urban,0.9138416010556408,0.9138416010556772,0.9138416010556408,0.9138416010556772,0.9138416010556408,0.9138416010556772,1,1,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc_diff,agricultural,-0.0403819471595471,-0.0403819471595446,-0.0403819471595471,-0.0403819471595446,-0.0403819471595471,-0.0403819471595446,1,1,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc_diff,all,-0.0073680676986007,-0.0073680676987915,-0.074300147452226,-0.0743001474522085,0.069425803210493,0.0694258032099171,4,4,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc_diff,no_landuse_attr,0.0069962450023517,0.006996245002169,-0.071306846655532,-0.0713068466554981,0.0807968151147515,0.0807968151141673,4,4,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,observed-label_auc_diff,urban,-0.0013082514705491,-0.0013082514706456,-0.0013082514705491,-0.0013082514706456,-0.0013082514705491,-0.0013082514706456,1,1,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2022-09-06,observed-label_auc,all,0.9153128672505148,0.9153128672505148,0.8543256563064826,0.8543256563064825,0.9686510493057174,0.9686510493057174,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2022-09-06,observed-label_auc,no_landuse_attr,0.9153128672505148,0.9153128672505148,0.8543256563064826,0.8543256563064825,0.9686510493057174,0.9686510493057174,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,capture_0.05,all,0.6343111519606709,0.6343111519606556,,,,,3,3,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,capture_0.05,no_landuse_attr,0.6343111519606709,0.6343111519606556,,,,,3,3,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,capture_0.5,all,0.7560108689806869,0.7560108689805372,,,,,3,3,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,capture_0.5,no_landuse_attr,0.7560108689806869,0.7560108689805372,,,,,3,3,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,observed-label_auc,all,0.8025215799183868,0.8025215799183364,0.4693146873183666,0.469314687318223,0.9798388788593764,0.979838878859376,3,3,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,observed-label_auc,no_landuse_attr,0.8025215799183868,0.8025215799183364,0.4693146873183666,0.469314687318223,0.9798388788593764,0.979838878859376,3,3,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,observed-label_auc_diff,all,0.0106210102194636,0.0106210102194128,-0.0221908580663752,-0.0221908580663842,0.0297714197351281,0.0297714197349845,3,3,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2023-08-10,observed-label_auc_diff,no_landuse_attr,0.0106210102194636,0.0106210102194128,-0.0221908580663752,-0.0221908580663842,0.0297714197351281,0.0297714197349845,3,3,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,capture_0.2,all,0.2418930547322621,0.2418930547320212,,,,,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,capture_0.2,no_landuse_attr,0.2418930547322621,0.2418930547320212,,,,,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,capture_0.3,all,0.4087547509083965,0.4087547509083963,,,,,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,capture_0.3,no_landuse_attr,0.4087547509083965,0.4087547509083963,,,,,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,capture_0.5,all,0.6820576169641387,0.6820576169644569,,,,,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,capture_0.5,no_landuse_attr,0.6820576169641387,0.6820576169644569,,,,,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,observed-label_auc,all,0.6187226728235721,0.6187226728236329,0.4590111090707623,0.4590111090709296,0.7784342365763818,0.778434236576336,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,observed-label_auc,no_landuse_attr,0.6187226728235721,0.6187226728236329,0.4590111090707623,0.4590111090709296,0.7784342365763818,0.778434236576336,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,observed-label_auc_diff,all,-0.0696926075627399,-0.0696926075626824,-0.1200287504614455,-0.1200287504614143,-0.0100818979232132,-0.0100818979232147,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-07-24,observed-label_auc_diff,no_landuse_attr,-0.0696926075627399,-0.0696926075626824,-0.1200287504614455,-0.1200287504614143,-0.0100818979232132,-0.0100818979232147,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.05,all,0.1790397489217548,0.1790397489217549,,,,,183,183,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.05,no_landuse_attr,0.1081410211069428,0.1081410211069456,,,,,7,7,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.2,agricultural,0.2247145086508363,0.224714508650841,,,,,119,119,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.2,all,0.4249470478889774,0.4249470478889804,,,,,183,183,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.3,agricultural,0.3788155232370936,0.3788155232370946,,,,,119,119,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.3,all,0.5576397914998238,0.5576397914998245,,,,,183,183,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.5,agricultural,0.6949278103341323,0.6949278103341331,,,,,119,119,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.5,all,0.7949196347894164,0.7949196347894174,,,,,183,183,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,capture_0.5,no_landuse_attr,0.9986562960409042,0.998656296040915,,,,,7,7,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,object,ALL,2024-09-20,observed-label_auc,agricultural,0.607710137192024,0.607710137192024,0.5738253409625687,0.5738253409625683,0.6417296833514183,0.6417296833514167,119,119,119,119,pre_registered,pre_registered,False,False,True,True,both
