floor,normalization,aggregation,weights,components,repeat,spearman_vs_baseline,top20_overlap
0.01,minmax,additive,equal,HEV,10,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,11,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,12,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,13,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,14,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,15,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,16,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,17,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,18,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,19,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,20,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,21,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,22,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,23,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,24,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,25,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,26,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,27,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,28,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,29,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,30,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,31,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,32,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,33,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,34,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,35,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,36,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,37,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,38,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,39,0.8351443852767073,7
0.01,minmax,additive,entropy,HEVD,0,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,1,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,2,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,3,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,4,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,5,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,6,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,7,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,8,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,9,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,10,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,11,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,12,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,13,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,14,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,15,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,16,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,17,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,18,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,19,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,20,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,21,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,22,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,23,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,24,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,25,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,26,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,27,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,28,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,29,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,30,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,31,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,32,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,33,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,34,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,35,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,36,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,37,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,38,0.9199250280636537,10
0.01,minmax,additive,entropy,HEVD,39,0.9199250280636537,10
0.01,minmax,additive,entropy,HEV,0,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,1,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,2,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,3,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,4,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,5,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,6,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,7,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,8,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,9,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,10,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,11,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,12,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,13,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,14,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,15,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,16,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,17,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,18,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,19,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,20,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,21,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,22,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,23,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,24,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,25,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,26,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,27,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,28,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,29,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,30,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,31,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,32,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,33,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,34,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,35,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,36,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,37,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,38,0.8310144091360393,7
0.01,minmax,additive,entropy,HEV,39,0.8310144091360393,7
0.01,minmax,additive,dirichlet,HEVD,0,0.9029951462733197,2
0.01,minmax,additive,dirichlet,HEVD,1,0.5254545902871081,3
0.01,minmax,additive,dirichlet,HEVD,2,0.6856147311480328,1
0.01,minmax,additive,dirichlet,HEVD,3,0.8700780253291471,6
0.01,minmax,additive,dirichlet,HEVD,4,0.7827171887796842,13
0.01,minmax,additive,dirichlet,HEVD,5,0.9220749226447119,6
0.01,minmax,additive,dirichlet,HEVD,6,0.43053714629454926,2
0.01,minmax,additive,dirichlet,HEVD,7,0.7353838319690893,10
0.01,minmax,additive,dirichlet,HEVD,8,0.18278969620653004,1
0.01,minmax,additive,dirichlet,HEVD,9,0.9147042720031674,7
0.01,minmax,additive,dirichlet,HEVD,10,0.9296555238641768,8
0.01,minmax,additive,dirichlet,HEVD,11,0.9189792408968627,10
0.01,minmax,additive,dirichlet,HEVD,12,0.3654786980145726,0
0.01,minmax,additive,dirichlet,HEVD,13,0.9151740233334632,7
0.01,minmax,additive,dirichlet,HEVD,14,0.892152970982576,6
0.01,minmax,additive,dirichlet,HEVD,15,0.7787343719713492,13
