score,unit,stratum,test_event,role,auc,ci_lo,ci_hi,n_units,n_pos_cells,n_clusters,included,reason,y,se,run_id
slope_neg,cell_gate,UNIVERSE,2006,development,0.5769230769230769,0.4847,0.7249,10,10,5,True,,0.3101549283038393,0.26279007343619376,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,UNIVERSE,2006,development,0.5777,0.4863,0.7134,5,10,5,True,,0.31333874084732194,0.2466291434995613,m2_20260926T165115Z_1ffdde7
relelev_neg,cell_gate,UNIVERSE,2006,development,0.3467425431711146,0.2315,0.4966,10,10,5,True,,-0.6333887652553285,0.3026230301123602,m2_20260926T165115Z_1ffdde7
relelev_neg,cluster_gate,UNIVERSE,2006,development,0.3534,0.242,0.4788,5,10,5,True,,-0.6041273054057367,0.26962097167485344,m2_20260926T165115Z_1ffdde7
twi,cell_gate,UNIVERSE,2006,development,0.542984693877551,0.3846,0.7662,10,10,5,True,,0.17236424852319843,0.42272353625689263,m2_20260926T165115Z_1ffdde7
twi,cluster_gate,UNIVERSE,2006,development,0.5466,0.3918,0.7356,5,10,5,True,,0.18694253542053896,0.3732149330358171,m2_20260926T165115Z_1ffdde7
impervious,cell_gate,UNIVERSE,2006,development,0.3563775510204082,0.2837,0.4337,10,10,5,True,,-0.5911215893840958,0.16822013433116864,m2_20260926T165115Z_1ffdde7
impervious,cluster_gate,UNIVERSE,2006,development,0.3415,0.2645,0.4314,5,10,5,True,,-0.6566168421724909,0.1904544750235531,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,UNIVERSE,2006,development,0.8267072213500785,0.74,0.9113,10,10,5,True,,1.5624680811674876,0.3274661466050084,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,UNIVERSE,2006,development,0.8506,0.7698,0.9135,5,10,5,True,,1.7393147101208166,0.29336169602836487,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cell_gate,UNIVERSE,2006,development,0.842798273155416,0.7414,0.9372,10,10,5,True,,1.6791977680391559,0.42084543945529346,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cluster_gate,UNIVERSE,2006,development,0.8689,0.7645,0.9372,5,10,5,True,,1.8912676530755061,0.38914758977186453,m2_20260926T165115Z_1ffdde7
L1,cell_gate,UNIVERSE,2006,development,0.1131770015698587,0.0609,0.1889,10,10,5,True,,-2.058692432801101,0.3261578346874347,m2_20260926T165115Z_1ffdde7
L1,cluster_gate,UNIVERSE,2006,development,0.1102,0.0556,0.184,5,10,5,True,,-2.0886998216531274,0.34257976605494517,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,UNIVERSE,2006,development,0.282947409733124,0.2037,0.3993,10,10,5,True,,-0.9298881365196208,0.243612907118749,m2_20260926T165115Z_1ffdde7
z_sensitivity,cluster_gate,UNIVERSE,2006,development,0.287,0.2103,0.3849,5,10,5,True,,-0.909999204654675,0.21794195061975646,m2_20260926T165115Z_1ffdde7
slope_neg,object,UNIVERSE,2006,development,0.5839769669677404,0.5240811144840446,0.6599196565209248,11,10,5,True,,0.33912091533218447,0.1445274417402284,m2_20260926T165115Z_1ffdde7
relelev_neg,object,UNIVERSE,2006,development,0.2977902941973254,0.2400755364001706,0.369200164843022,11,10,5,True,,-0.8578425575931119,0.15730283559569241,m2_20260926T165115Z_1ffdde7
twi,object,UNIVERSE,2006,development,0.4900739094541161,0.3808601053665462,0.6014709691904453,11,10,5,True,,-0.03970957936734554,0.2289575342981934,m2_20260926T165115Z_1ffdde7
impervious,object,UNIVERSE,2006,development,0.3018107315986242,0.2562749559777261,0.3504185165463847,11,10,5,True,,-0.8386901198286933,0.11434404113296145,m2_20260926T165115Z_1ffdde7
hand_neg,object,UNIVERSE,2006,development,0.8160614550867034,0.7629590040511746,0.8723638014655748,11,10,5,True,,1.4898879579507194,0.19210846042953916,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,UNIVERSE,2006,development,0.8223690526336926,0.7603365924922085,0.8862579330217394,11,10,5,True,,1.5324811948740233,0.22922588673043126,m2_20260926T165115Z_1ffdde7
L1,object,UNIVERSE,2006,development,0.0882712909611689,0.059793834072029,0.1210035143619425,11,10,5,True,,-2.334927553596839,0.19700242612442126,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,UNIVERSE,2006,development,0.2325228745610699,0.1744465899246369,0.2912299592205857,11,10,5,True,,-1.1941200696320333,0.16965041424726143,m2_20260926T165115Z_1ffdde7
slope_neg,cell_gate,ALL,2012,development,0.8717151957228564,0.7418,0.9193,206,206,14,True,,1.9162099345369001,0.35141685250765536,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,ALL,2012,development,0.722,0.6254,0.8105,14,206,14,True,,0.954404025202189,0.23998646634832393,m2_20260926T165115Z_1ffdde7
