model,baseline,unit,stratum,set,variant,rho,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
rf_F1_wf,slope_neg,cell_gate,AGRI,holdout,main,0.0,1,-0.6284545118387759,0.27069054356228145,,,,,,,,,,,,,,False,1.0,2024-09-20,1.0,1.0,2024-09-20,1.0,-0.12529204187342113,-0.12529204187342113,-0.12529204187342113,2024-09-20,1112,1112,47,k=1: 통합 불가,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,AGRI,holdout,main,0.0,1,0.26580936442474945,0.17741712265739856,,,,,,,,,,,,,,False,1.0,2024-09-20,1.0,1.0,2024-09-20,1.0,0.06380000000000008,0.06380000000000008,0.06380000000000008,2024-09-20,47,1112,47,k=1: 통합 불가,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,AGRI,holdout,main,0.0,1,0.2577644154492478,0.12954362802605465,,,,,,,,,,,,,,False,1.0,2024-09-20,1.0,1.0,2024-09-20,1.0,0.061593527750473775,0.061593527750473775,0.061593527750473775,2024-09-20,109,1112,47,k=1: 통합 불가,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,combined,main,0.0,7,-0.14092285357345574,0.313054846750314,-0.906940468145174,0.6250947609982627,-2.205024295360179,1.9231785882132675,0.5482090659314873,0.16514488166166608,3.3405258026400073,52.15717411533369,1.7339135153973744e-09,0.884963092771622,0.6555474789451422,0.9746814855443141,0.7404114166674413,False,0.4473174832926777,2025,3.8376492983843433,0.1687641363129407,2025,6.8434662439337455,-0.011521315194329942,-0.05736733234526314,0.02982465537058887,2012;2014;2016;2019;2023-08-10;2024-09-20;2025,1861,1861,105,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,ALL,combined,main,0.0,7,0.010785823131283975,0.25884582029072545,-0.6225870821574355,0.6441587284200034,-1.673340943641312,1.6949125899038802,0.3622255004513417,0.10085281097202149,1.7655869370168753,49.29438229557057,6.509839101904715e-09,0.8782822763854952,0.597931413258384,0.9630104807248925,0.6018517263008737,False,0.32186165471024614,2025,4.391324791089681,0.17208662738103817,2025,6.724960142305497,0.013685714285714285,-0.006685714285714296,0.044499999999999984,2012;2014;2016;2019;2023-08-10;2024-09-20;2025,105,1861,105,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,combined,main,0.0,9,0.06347039783482646,0.2173612165151385,-0.437765466282091,0.5647062619517439,-1.3651682097622782,1.4921090054319313,0.31777731654782665,0.09442049743911746,1.1942871333568867,54.183807056668755,6.359382297077103e-09,0.8523544129774213,0.6435761900972391,0.958051806331883,0.5637174084129624,False,0.5040774257218059,2024-09-20,3.2916677979328792,0.14456903361814744,2024-09-20,8.551477007297327,0.021543790780002608,0.013806853422699623,0.043982529777523593,2012;2014;2016;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20;2025,319,1861,105,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,FLAT,combined,main,0.0,7,-0.25349970841382774,0.39777091288918287,-1.2268100692031263,0.7198106523754707,-2.8731248589923863,2.366125442164731,0.8842957426233089,0.27069764589464623,5.4818503779798124,53.67950401936352,8.560606152649993e-10,0.8882254948213446,0.6976261175381991,0.9790452912322486,0.9403700030431155,False,0.38815451721650673,2025,4.272790139327564,0.1671126550893058,2025,6.790547396104177,-0.04014743078434509,-0.1918160313002679,0.03214884325507683,2012;2014;2016;2019;2023-08-10;2024-09-20;2025,1762,1762,96,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,FLAT,combined,main,0.0,7,-0.07250663402999562,0.33245232655781237,-0.8859881718250272,0.740974903765036,-2.2142080706674863,2.0691948026074947,0.5836281025923328,0.15416099813878226,3.0056880607125214,44.39201376211751,6.180157753941174e-08,0.8648405537051762,0.58708504339886,0.9651823406122059,0.7639555632314833,False,0.3760728678784849,2024-09-20,3.766592573607077,0.1785757110287785,2024-09-20,6.655550948437181,0.009014285714285697,-0.05802187500000005,0.09859999999999997,2012;2014;2016;2019;2023-08-10;2024-09-20;2025,96,1762,96,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,FLAT,combined,main,0.0,9,0.10584461231144537,0.29874067636853896,-0.5830526227480949,0.7947418473709856,-1.8474339678322311,2.0591231924551217,0.5930991384113972,0.1783272034491685,2.624449790905726,57.696889489566345,1.3163942853063525e-09,0.8613443450630612,0.6838013018318732,0.9695369182762775,0.7701292998006225,False,0.5218380746329568,2024-09-20,3.0989119471485234,0.14715463199953327,2024-09-20,8.364886783963895,0.061911974788150616,0.017624480833351837,0.11482658667508094,2012;2014;2016;2019;2022-09-06;2023-08-10;2024-07-24;2024-09-20;2025,287,1762,96,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,URBAN,combined,main,0.0,6,-0.01745631088295895,0.21334652616982436,-0.5658810157512171,0.5309683939852992,-0.6098012291781207,0.5748886074122028,0.0,0.0,1.282904040109679,3.475256144701715,0.627134952227004,0.0,0.0,0.8149393273347416,0.0,False,0.3348435194714653,2016,4.570229438514478,0.3348435194714653,2016,4.570229438514478,-0.002889824197901162,-0.03264114187154601,0.03349415702045966,2012;2014;2016;2019;2023-08-10;2024-09-20,385,385,43,,m2_20260926T165115Z_1ffdde7
