score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,run_id
city_flood_map,object,ALL,ALL,capture_0.2,0.8,,,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.6000108853563687,,,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.9153128672505149,0.8543528024892739,0.9705899688840759,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.8890136346808595,0.7802998052290206,0.9720998451057531,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.8625868813692689,0.6492399319634871,0.9774909873480185,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.8606011672691304,0.7658442689921576,0.9500034268638713,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,0.8637141492664031,0.4873,0.9828,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.8087,0.4873,0.9828,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.7778,,,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.6666666666666666,,,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.8925775089249128,0.7763,0.9285,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.8757,0.7763,0.9285,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.8333,,,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.7560108689805372,,,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.8464019556687568,0.4382,0.9769,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.7892,0.4382,0.9769,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.7778,,,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.6666666666666666,,,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,0.8918961644247522,0.8475,0.9413,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,0.8985,0.8475,0.9413,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.9444,,,18,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.8994238642203606,,,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.8025215799183364,0.46931468731822307,0.979838878859376,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.8726054419973029,0.7690758451940761,0.9287409601164885,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.7919005696989235,0.4395432675832385,0.9806020316437939,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.8956295902795756,0.8543239761795922,0.9469357979097527,3,2023-08-10,holdout,2023,3,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.24189305473202127,,,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.3642258190372264,,,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.530555700784382,,,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.4160487794663541,,,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.6187226728236329,0.4573048920962187,0.7937501797208577,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.7812857409371732,0.6713222213727799,0.890073832971624,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.6884152803863154,0.498891234834837,0.8787255864737066,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.8001912048337104,0.6885566928903607,0.906897686731055,5,2024-07-24,holdout,2024,5,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,0.43155303616456364,0.3811,0.5864,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.5974,0.5362,0.6593,52,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.067,,,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.4249470478889804,,,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.7331409933012462,0.7169,0.7534,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.7579,0.7274,0.7852,52,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
