score,stratum,unit,metric,role_group,median,n_events,n_pass_gate
twi,AGRI,cell_gate,capture_0.2,development,0.1937,4,0
twi,AGRI,cell_gate,capture_0.2,holdout,0.1232,1,0
twi,AGRI,cell_gate,observed-label_auc,all,0.6358,5,0
twi,AGRI,cell_gate,observed-label_auc,development,0.6208,4,0
twi,AGRI,cell_gate,observed-label_auc,holdout,0.6848,1,0
twi,AGRI,object,observed-label_auc,all,0.6008,5,1
twi,AGRI,object,observed-label_auc,development,0.5932,4,1
twi,AGRI,object,observed-label_auc,holdout,0.6197,1,0
twi,ALL,cell_gate,capture_0.2,all,0.731,8,8
twi,ALL,cell_gate,capture_0.2,development,0.731,6,6
twi,ALL,cell_gate,capture_0.2,holdout,0.7422,2,2
twi,ALL,cell_gate,observed-label_auc,all,0.8572,8,8
twi,ALL,cell_gate,observed-label_auc,development,0.8536,6,6
twi,ALL,cell_gate,observed-label_auc,holdout,0.8656,2,2
twi,ALL,object,observed-label_auc,all,0.8144,10,9
twi,ALL,object,observed-label_auc,development,0.8181,6,6
twi,ALL,object,observed-label_auc,holdout,0.8103,4,3
twi,FLAT,cell_gate,capture_0.2,all,0.3405,8,1
twi,FLAT,cell_gate,capture_0.2,development,0.3588,6,1
twi,FLAT,cell_gate,capture_0.2,holdout,0.2295,2,0
twi,FLAT,cell_gate,observed-label_auc,all,0.6404,8,1
twi,FLAT,cell_gate,observed-label_auc,development,0.6404,6,1
twi,FLAT,cell_gate,observed-label_auc,holdout,0.6293,2,0
twi,FLAT,object,observed-label_auc,all,0.5721,10,1
twi,FLAT,object,observed-label_auc,development,0.5854,6,1
twi,FLAT,object,observed-label_auc,holdout,0.5261,4,0
twi,UNIVERSE,cell_gate,capture_0.2,all,0.4545,7,1
twi,UNIVERSE,cell_gate,capture_0.2,development,0.4545,5,1
