no,block,dist,median,shape,beta,n_obj,n_events,counts,upsilon,mu0,tau,delta_star,object_auc_limit,top10_share_theory,neff_ratio_theory
52,A,lognormal,5000.0,3.0,-0.5,30,1,equal,0.0,0.95,0.5,-0.3620480926966525,0.7260243075020016,0.9571425738271104,0.00012340980408667956
53,A,lognormal,5000.0,3.0,-0.5,200,1,equal,0.0,0.95,0.5,-0.3620480926966525,0.7260243075020016,0.9571425738271104,0.00012340980408667956
54,A,lognormal,5000.0,3.0,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.9571425738271104,0.00012340980408667956
55,A,lognormal,5000.0,3.0,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.9571425738271104,0.00012340980408667956
56,A,lognormal,5000.0,3.0,0.5,30,1,equal,0.0,0.95,0.5,0.21334683477217764,0.7260243075020016,0.9571425738271104,0.00012340980408667956
57,A,lognormal,5000.0,3.0,0.5,200,1,equal,0.0,0.95,0.5,0.21334683477217764,0.7260243075020016,0.9571425738271104,0.00012340980408667956
58,A,lognormal,5000.0,3.0,1.0,30,1,equal,0.0,0.95,0.5,0.28488536575723444,0.700891117754484,0.9571425738271104,0.00012340980408667956
59,A,lognormal,5000.0,3.0,1.0,200,1,equal,0.0,0.95,0.5,0.28488536575723444,0.700891117754484,0.9571425738271104,0.00012340980408667956
60,B,lognormal,5000.0,1.5,-0.5,50,4,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
61,B,lognormal,5000.0,1.5,0.0,50,4,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
62,B,lognormal,5000.0,1.5,0.5,50,4,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
63,B,lognormal,5000.0,1.5,-0.5,50,4,equal,0.5,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
64,B,lognormal,5000.0,1.5,0.0,50,4,equal,0.5,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
65,B,lognormal,5000.0,1.5,0.5,50,4,equal,0.5,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
66,B,lognormal,5000.0,1.5,-0.5,50,4,skewed,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
67,B,lognormal,5000.0,1.5,0.0,50,4,skewed,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
68,B,lognormal,5000.0,1.5,0.5,50,4,skewed,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
69,B,lognormal,5000.0,1.5,-0.5,50,4,skewed,0.5,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
70,B,lognormal,5000.0,1.5,0.0,50,4,skewed,0.5,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
71,B,lognormal,5000.0,1.5,0.5,50,4,skewed,0.5,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
72,B,lognormal,5000.0,1.5,-0.5,50,10,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
73,B,lognormal,5000.0,1.5,0.0,50,10,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
74,B,lognormal,5000.0,1.5,0.5,50,10,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
75,B,lognormal,5000.0,1.5,-0.5,50,10,equal,0.5,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
76,B,lognormal,5000.0,1.5,0.0,50,10,equal,0.5,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
77,B,lognormal,5000.0,1.5,0.5,50,10,equal,0.5,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
78,B,lognormal,5000.0,1.5,-0.5,50,10,skewed,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
79,B,lognormal,5000.0,1.5,0.0,50,10,skewed,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
80,B,lognormal,5000.0,1.5,0.5,50,10,skewed,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
81,B,lognormal,5000.0,1.5,-0.5,50,10,skewed,0.5,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
82,B,lognormal,5000.0,1.5,0.0,50,10,skewed,0.5,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
83,B,lognormal,5000.0,1.5,0.5,50,10,skewed,0.5,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
84,C1,lognormal,500.0,1.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
85,C1,lognormal,500.0,1.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
86,C1,lognormal,500.0,1.5,0.5,200,1,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
87,C1,lognormal,2000.0,1.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
88,C1,lognormal,2000.0,1.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
89,C1,lognormal,2000.0,1.5,0.5,200,1,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
90,C1,lognormal,20000.0,1.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
91,C1,lognormal,20000.0,1.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
92,C1,lognormal,20000.0,1.5,0.5,200,1,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
93,C1,lognormal,50000.0,1.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.1756959017826848,0.7260243075020016,0.5864601343061464,0.10539922456186433
94,C1,lognormal,50000.0,1.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.5864601343061464,0.10539922456186433
95,C1,lognormal,50000.0,1.5,0.5,200,1,equal,0.0,0.95,0.5,0.13282736620634106,0.7260243075020016,0.5864601343061464,0.10539922456186433
96,C2,pareto,5000.0,1.0,-0.5,200,1,equal,0.0,0.95,0.5,,0.7260243075020016,,
97,C2,pareto,5000.0,1.0,0.0,200,1,equal,0.0,0.95,0.5,,0.7367420049605218,,
98,C2,pareto,5000.0,1.0,0.5,200,1,equal,0.0,0.95,0.5,,0.7260243075020016,,
99,C2,pareto,5000.0,1.5,-0.5,200,1,equal,0.0,0.95,0.5,,0.7260243075020016,,
100,C2,pareto,5000.0,1.5,0.0,200,1,equal,0.0,0.95,0.5,,0.7367420049605218,,
101,C2,pareto,5000.0,1.5,0.5,200,1,equal,0.0,0.95,0.5,,0.7260243075020016,,
102,C2,pareto,5000.0,2.0,-0.5,200,1,equal,0.0,0.95,0.5,,0.7260243075020016,,
103,C2,pareto,5000.0,2.0,0.0,200,1,equal,0.0,0.95,0.5,,0.7367420049605218,,
104,C2,pareto,5000.0,2.0,0.5,200,1,equal,0.0,0.95,0.5,,0.7260243075020016,,
105,D,lognormal,5000.0,1.5,-1.0,200,1,equal,0.0,0.55,0.5,-0.32074045124181216,0.6198493334873282,0.5864601343061464,0.10539922456186433
106,D,lognormal,5000.0,1.5,-0.5,200,1,equal,0.0,0.55,0.5,-0.1863521909139677,0.6360237851946509,0.5864601343061464,0.10539922456186433
107,D,lognormal,5000.0,1.5,0.0,200,1,equal,0.0,0.55,0.5,0.0,0.6430661632625014,0.5864601343061464,0.10539922456186433
108,D,lognormal,5000.0,1.5,0.5,200,1,equal,0.0,0.55,0.5,0.15849245376118115,0.6360237851946509,0.5864601343061464,0.10539922456186433
109,D,lognormal,5000.0,1.5,1.0,200,1,equal,0.0,0.55,0.5,0.2524098233487193,0.6198493334873282,0.5864601343061464,0.10539922456186433
110,D,lognormal,5000.0,1.5,-1.0,200,1,equal,0.0,1.45,0.5,-0.30045579336299416,0.7893925436854572,0.5864601343061464,0.10539922456186433
111,D,lognormal,5000.0,1.5,-0.5,200,1,equal,0.0,1.45,0.5,-0.14942908159032542,0.8204445365584152,0.5864601343061464,0.10539922456186433
112,D,lognormal,5000.0,1.5,0.0,200,1,equal,0.0,1.45,0.5,0.0,0.833144652128217,0.5864601343061464,0.10539922456186433
113,D,lognormal,5000.0,1.5,0.5,200,1,equal,0.0,1.45,0.5,0.09750371002869129,0.8204445365584152,0.5864601343061464,0.10539922456186433
114,D,lognormal,5000.0,1.5,1.0,200,1,equal,0.0,1.45,0.5,0.1597259069896796,0.7893925436854572,0.5864601343061464,0.10539922456186433
