prior,config,held_event,n_test,n_positive,grid_auc,cluster_auc,observed_label_ap,top20_capture
"2006,2012","random_forest|F2|max_depth=4,min_samples_leaf=400",2012,75293,206,0.80137609951744,0.6242908292712973,0.006606400696852855,0.6941747572815534
"2006,2012",xgboost|F2|max_depth=1,2006,75194,107,0.8575786666905643,0.8731368550525422,0.0059111401162486345,0.8317757009345794
"2006,2012",xgboost|F2|max_depth=1,2012,75293,206,0.7719387258353126,0.6270499162944522,0.006446434326000448,0.5728155339805825
"2006,2012",xgboost|F2|max_depth=3,2006,75194,107,0.7951232644898273,0.8281828511594239,0.0033752553109600908,0.616822429906542
"2006,2012",xgboost|F2|max_depth=3,2012,75293,206,0.7662715780439028,0.5578234848129769,0.005589932240897789,0.5048543689320388
"2006,2012,2014",ridge|F0|C=0.1,2006,75067,107,0.8669889984939009,0.849982153308185,0.005228806229303258,0.8037383177570093
"2006,2012,2014",ridge|F0|C=0.1,2012,75166,206,0.7954464387479148,0.656202149878106,0.006827876418167182,0.5
"2006,2012,2014",ridge|F0|C=0.1,2014,75092,132,0.8424738648491318,0.7984672823214806,0.00664749885513292,0.7121212121212122
"2006,2012,2014",ridge|F0|C=1.0,2006,75067,107,0.8700190257233764,0.8530020496338446,0.005348030076615365,0.8130841121495327
"2006,2012,2014",ridge|F0|C=1.0,2012,75166,206,0.7981724881101637,0.660914000323423,0.006972527104886895,0.4854368932038835
"2006,2012,2014",ridge|F0|C=1.0,2014,75092,132,0.8412819160117718,0.7899644785540139,0.00663224329442281,0.7121212121212122
"2006,2012,2014","frequency_ratio|F0|n_bins=5,alpha=1.0",2006,75067,107,0.8601671670373732,0.8617263462172144,0.006728066886410175,0.794392523364486
"2006,2012,2014","frequency_ratio|F0|n_bins=5,alpha=1.0",2012,75166,206,0.8621357928111821,0.7267308333655478,0.013615197561910913,0.7912621359223301
"2006,2012,2014","frequency_ratio|F0|n_bins=5,alpha=1.0",2014,75092,132,0.8215210738656576,0.7428294784035259,0.006170752173228829,0.6666666666666666
"2006,2012,2014","frequency_ratio|F0|n_bins=10,alpha=1.0",2006,75067,107,0.8647697463569355,0.8585323683127672,0.005521182016696684,0.7476635514018691
"2006,2012,2014","frequency_ratio|F0|n_bins=10,alpha=1.0",2012,75166,206,0.8487261167120846,0.7310195255251717,0.009273089233710733,0.7572815533980582
"2006,2012,2014","frequency_ratio|F0|n_bins=10,alpha=1.0",2014,75092,132,0.8159751867662752,0.7391809990479247,0.006059635353182396,0.6060606060606061
"2006,2012,2014","random_forest|F0|max_depth=2,min_samples_leaf=200",2006,75067,107,0.8618225047127938,0.8648140452173569,0.005495891497092321,0.822429906542056
"2006,2012,2014","random_forest|F0|max_depth=2,min_samples_leaf=200",2012,75166,206,0.83824700034193,0.7261244449871175,0.008894504219701123,0.7621359223300971
"2006,2012,2014","random_forest|F0|max_depth=2,min_samples_leaf=200",2014,75092,132,0.838548437954788,0.8151910518577759,0.0063384113169347184,0.6742424242424242
"2006,2012,2014","random_forest|F0|max_depth=4,min_samples_leaf=400",2006,75067,107,0.8648825791200789,0.8658469996081886,0.005537384609119925,0.794392523364486
"2006,2012,2014","random_forest|F0|max_depth=4,min_samples_leaf=400",2012,75166,206,0.834266495529007,0.7308979665205714,0.008341150090974414,0.6650485436893204
