score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,nested_status,run_id
rf_F1_wf,cell_gate,URBAN,ALL,capture_0.2,0.3667,,,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,URBAN,ALL,capture_0.2,0.2471507296686505,,,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,URBAN,ALL,observed-label_auc,0.6515623383341955,0.4696,0.7726,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cluster_gate,URBAN,ALL,observed-label_auc,0.5401,0.3479,0.7371,9,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,URBAN,ALL,capture_0.2,0.4,,,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,URBAN,ALL,capture_0.2,0.2694233787802686,,,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,URBAN,ALL,observed-label_auc,0.520831177789274,0.1825,0.7364,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cluster_gate,URBAN,ALL,observed-label_auc,0.3342,0.1372,0.5571,9,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,URBAN,ALL,capture_0.2,0.2333,,,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,URBAN,ALL,capture_0.2,0.10847441571863352,,,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,URBAN,ALL,observed-label_auc,0.3765805722232139,0.2691938407266148,0.4913339475012429,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,URBAN,ALL,observed-label_auc,0.4655355348185612,0.3310429939926226,0.5952537126645604,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,URBAN,ALL,observed-label_auc,0.4687029955959061,0.33607503288680246,0.5928136941817559,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,URBAN,ALL,observed-label_auc,0.3315271386680471,0.21790809641196848,0.4530651534424292,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,AGRI,ALL,observed-label_auc,0.5459573006075803,0.3737,0.6314,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,AGRI,ALL,observed-label_auc,0.4818,0.3532,0.6237,10,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,AGRI,ALL,capture_0.2,0.1875,,,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,AGRI,ALL,capture_0.2,0.1844026974264901,,,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,AGRI,ALL,observed-label_auc,0.6704547509403028,0.4701,0.762,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,AGRI,ALL,observed-label_auc,0.6007,0.4577,0.7517,10,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,AGRI,ALL,capture_0.2,0.4375,,,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,AGRI,ALL,capture_0.2,0.3159070829988029,,,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,AGRI,ALL,observed-label_auc,0.6350216088822451,0.4666,0.7143,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cluster_gate,AGRI,ALL,observed-label_auc,0.5787,0.4615,0.7055,10,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,AGRI,ALL,capture_0.2,0.4062,,,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,AGRI,ALL,capture_0.2,0.30110794902353755,,,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,AGRI,ALL,observed-label_auc,0.6382953394734304,0.4006,0.7516,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cluster_gate,AGRI,ALL,observed-label_auc,0.5521,0.4146,0.7077,10,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,AGRI,ALL,capture_0.2,0.3438,,,64,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,AGRI,ALL,capture_0.2,0.2457550818719947,,,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,AGRI,ALL,observed-label_auc,0.5171569775186928,0.43320331607254114,0.5981903743206295,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,AGRI,ALL,observed-label_auc,0.596554020088018,0.5063197858339565,0.6838659991100245,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,AGRI,ALL,observed-label_auc,0.5732110944379925,0.4923364556411505,0.6534600861752925,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,AGRI,ALL,observed-label_auc,0.550558892076504,0.45682103198716034,0.6499382413328292,29,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,UNIVERSE,ALL,observed-label_auc,0.6451135066050683,0.4232,0.7696,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.5601,0.3975,0.7167,14,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
