test_event,role,rule,size_m,score,cell_auc,cell_auc_sklearn,identity_abs_diff,auc_from_objects,object_auc,mean_A_survivors,mean_At_survivors,term_size_weight,term_within_object,term_erasure,n_eff,n_objects,n_survive,n_survive_no_At,orphan_weight,n_orphan_cells
HOLDOUT_ALL,holdout_pooled,f25,500,hand_neg,0.96916515092211,0.9691651509221099,1.1102230246251565e-16,0.9691651509221101,0.8281873865834221,0.899303652033716,0.8982007367748234,0.0698614988883941,0.0011029152588926117,0.07001335019140131,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,hand_acc_neg,0.9650150806990077,0.9650150806990077,1.1102230246251565e-16,0.9650150806990078,0.8253427317645577,0.8947420957974989,0.8913013032164226,0.0702729849015089,0.003440792581076213,0.0659585714518649,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,L1,0.38338935832201315,0.38338935832201326,1.1102230246251565e-16,0.38338935832201326,0.6878637966115688,0.51906958791452,0.5247430275146516,-0.1356802295925067,-0.005673439600131669,-0.1631207690969172,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,z_sensitivity,0.7546393295420533,0.7546393295420533,0.0,0.7546393295420533,0.8110039940215127,0.7639631409018405,0.7794359642479717,-0.009323811359787215,-0.015472823346131204,-0.031568029773541006,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,rf_F1_wf,0.8455091750512284,0.8455091750512284,2.220446049250313e-16,0.8455091750512286,0.8355765642251225,0.8192218951215885,0.835422669231105,0.026287279929640084,-0.01620077410951648,-0.0001538949940175227,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,logit_F1_wf,0.8551965095664588,0.8551965095664587,2.220446049250313e-16,0.8551965095664585,0.8372539874453677,0.8383971628921078,0.8486120995763512,0.01679934667435079,-0.010214936684243447,0.011358112130983478,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,slope_neg,0.9663329725829727,0.9663329725829726,1.1102230246251565e-16,0.9663329725829726,0.8067082091179186,0.9062440363437654,0.903332006975327,0.06008893623920719,0.0029120293684383736,0.09662379785740838,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,relelev_neg,0.4614718614718615,0.4614718614718615,1.1102230246251565e-16,0.46147186147186137,0.6385405063945998,0.600820671062926,0.6029646826029066,-0.13934880959106466,-0.0021440115399805615,-0.03557582379169322,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,twi,0.9696789321789322,0.9696789321789322,1.1102230246251565e-16,0.9696789321789321,0.8369153947885001,0.9348233294755981,0.9332608001828047,0.03485560270333399,0.0015625292927934353,0.09634540539430458,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,impervious,0.4241522366522366,0.4241522366522366,0.0,0.4241522366522366,0.7076960719271852,0.43433652082710467,0.47198092832266403,-0.010184284174868052,-0.03764440749555936,-0.23571514360452117,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,hand_neg,0.9738501082251081,0.9738501082251082,1.1102230246251565e-16,0.9738501082251081,0.8281873865834221,0.916546639304021,0.9216684169262429,0.057303468921087064,-0.005121777622221879,0.09348103034282085,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,hand_acc_neg,0.970887445887446,0.9708874458874459,2.220446049250313e-16,0.9708874458874458,0.8253427317645577,0.9154474026053061,0.9182075016321716,0.055440043282139695,-0.00276009902686547,0.09286476986761383,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,L1,0.36149891774891774,0.36149891774891774,5.551115123125783e-17,0.3614989177489177,0.6878637966115688,0.48259815653386534,0.486649536942604,-0.12109923878494766,-0.004051380408738647,-0.20121425966896483,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,z_sensitivity,0.7633116883116884,0.7633116883116883,1.1102230246251565e-16,0.7633116883116884,0.8110039940215127,0.7790964199440553,0.793833367114331,-0.015784731632366933,-0.014736947170275627,-0.01717062690718174,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,rf_F1_wf,0.8410714285714286,0.8410714285714285,1.1102230246251565e-16,0.8410714285714286,0.8355765642251225,0.8189894805404031,0.8403052427136343,0.022081948031025478,-0.021315762173231168,0.004728678488511773,12.696019080314317,196,31,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f50,500,logit_F1_wf,0.8623466810966811,0.8623466810966811,1.1102230246251565e-16,0.862346681096681,0.8372539874453677,0.8509244188050544,0.8625318291821521,0.011422262291626573,-0.011607410377097671,0.02527784173678438,12.696019080314317,196,31,0.0,0.0,0.0
