test_event,role,rule,size_m,score,metric,value,n_units,run_id
2006,development,rep_point,100,impervious,capture_0.2,0.1111111111111111,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,impervious,object_auc,0.5081832871054498,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_neg,cell_auc,0.9040380255822933,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_neg,cell_auc_sklearn,0.9040380255822934,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_neg,capture_0.2,0.8888888888888888,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_neg,object_auc,0.9169905877075856,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_acc_neg,cell_auc,0.9107519773361751,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_acc_neg,cell_auc_sklearn,0.9107519773361751,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_acc_neg,capture_0.2,0.8888888888888888,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,hand_acc_neg,object_auc,0.9213673295683819,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,L1,cell_auc,0.37610069011464575,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,L1,cell_auc_sklearn,0.37610069011464575,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,L1,capture_0.2,0.0,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,L1,object_auc,0.36931948820801597,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,z_sensitivity,cell_auc,0.7318627494332569,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,z_sensitivity,cell_auc_sklearn,0.731862749433257,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,z_sensitivity,capture_0.2,0.2222222222222222,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,z_sensitivity,object_auc,0.7339420037034096,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,slope_neg,cell_auc,0.9096762490872956,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,slope_neg,cell_auc_sklearn,0.9096762490872956,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,slope_neg,capture_0.2,0.9092088806033944,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,slope_neg,object_auc,0.8851852285358418,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,relelev_neg,cell_auc,0.500028696609502,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,relelev_neg,cell_auc_sklearn,0.500028696609502,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,relelev_neg,capture_0.2,1.2137289329026579e-06,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,relelev_neg,object_auc,0.496765423322278,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,twi,cell_auc,0.8848072442329401,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,twi,cell_auc_sklearn,0.8848072442329402,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,twi,capture_0.2,0.8580186849786992,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,twi,object_auc,0.8422664708504762,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,impervious,cell_auc,0.4377926915311257,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,impervious,cell_auc_sklearn,0.4377926915311257,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,impervious,capture_0.2,0.05631032052449664,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,impervious,object_auc,0.5081832871054498,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_neg,cell_auc,0.9326494241663598,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_neg,cell_auc_sklearn,0.9326494241663597,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_neg,capture_0.2,0.988642877493133,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_neg,object_auc,0.9169905877075856,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_acc_neg,cell_auc,0.9398563699806508,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_acc_neg,cell_auc_sklearn,0.9398563699806506,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_acc_neg,capture_0.2,0.988642877493133,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,hand_acc_neg,object_auc,0.9213673295683819,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,L1,cell_auc,0.3909675716310297,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,L1,cell_auc_sklearn,0.3909675716310296,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,L1,capture_0.2,0.0,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,L1,object_auc,0.36931948820801597,19,m4_20260926T164939Z_390f3fc
2006,development,soft,100,z_sensitivity,cell_auc,0.7608029890000999,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,z_sensitivity,cell_auc_sklearn,0.7608029890001,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,z_sensitivity,capture_0.2,0.3428243423922024,126,m4_20260926T164939Z_390f3fc
2006,development,soft,100,z_sensitivity,object_auc,0.7339420037034096,19,m4_20260926T164939Z_390f3fc
2006,development,any,200,slope_neg,cell_auc,0.8733399545018353,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,slope_neg,cell_auc_sklearn,0.8733399545018353,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,slope_neg,capture_0.2,0.782608695652174,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,slope_neg,object_auc,0.8916046745054677,19,m4_20260926T164939Z_390f3fc
2006,development,any,200,relelev_neg,cell_auc,0.49702718481783953,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,relelev_neg,cell_auc_sklearn,0.4970271848178396,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,relelev_neg,capture_0.2,0.021739130434782608,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,relelev_neg,object_auc,0.5077973904280517,19,m4_20260926T164939Z_390f3fc
2006,development,any,200,twi,cell_auc,0.8478764167846622,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,twi,cell_auc_sklearn,0.8478764167846622,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,twi,capture_0.2,0.717391304347826,46,m4_20260926T164939Z_390f3fc
2006,development,any,200,twi,object_auc,0.8709966058646855,19,m4_20260926T164939Z_390f3fc
