verdict,rule,size_m,config_class,other,diff_ref,diff,material_reversal
V2,center,1000,both,hand_neg,-0.07073425056127736,-0.638204120519233,False
V2,center,1000,both,hand_acc_neg,-0.08632337686517555,-0.6282005478146957,False
V2,center,1000,both,z_sensitivity,-0.082863846552516,-0.44253900202453256,False
V2,center,1000,both,rf_F1_wf,-0.06348447564061732,-0.49720138144575443,False
V2,center,1000,both,logit_F1_wf,-0.05483917335882804,-0.509944027628915,False
V1,f01,100,rule_only,slope_neg,-0.48602921064533106,-0.4347209600978443,False
V1,f01,100,rule_only,relelev_neg,-0.02658659385314549,-0.012023552536746196,False
V1,f01,100,rule_only,twi,-0.4549179144959405,-0.40408608557013986,False
V1,f01,100,rule_only,impervious,0.007884360784997269,0.0013884028217615585,False
V1,f01,100,rule_only,hand_neg,-0.48604053865047775,-0.44229511433376295,False
V1,f01,100,rule_only,hand_acc_neg,-0.4848484151615086,-0.4415101928494987,False
V1,f01,100,rule_only,z_sensitivity,-0.2991048182339064,-0.2742686089938193,False
V1,f01,100,rule_only,rf_F1_wf,-0.4075544816095638,-0.37112915893157444,False
V1,f01,100,rule_only,logit_F1_wf,-0.41059158473372864,-0.3720003843885819,False
V2,f01,100,rule_only,slope_neg,-0.08062375096546393,-0.10601873472928247,False
V2,f01,100,rule_only,relelev_neg,0.24240681919101803,0.2075665978132264,False
V2,f01,100,rule_only,twi,-0.04935528729476246,-0.06554829047872524,False
V2,f01,100,rule_only,impervious,-0.016811175287431368,-0.04433672185837878,False
V2,f01,100,rule_only,hand_neg,-0.07073425056127736,-0.1034031756429239,False
V2,f01,100,rule_only,hand_acc_neg,-0.08632337686517555,-0.11293802111731732,False
V2,f01,100,rule_only,z_sensitivity,-0.082863846552516,-0.07365495104480602,False
V2,f01,100,rule_only,rf_F1_wf,-0.06348447564061732,-0.08889099273345669,False
V2,f01,100,rule_only,logit_F1_wf,-0.05483917335882804,-0.07556052818661962,False
V1,f01,200,both,slope_neg,-0.48602921064533106,-0.40882157548995823,False
V1,f01,200,both,relelev_neg,-0.02658659385314549,-0.013627349547293,False
V1,f01,200,both,twi,-0.4549179144959405,-0.3997753543194048,False
V1,f01,200,both,impervious,0.007884360784997269,-0.02058765290311726,False
V1,f01,200,both,hand_neg,-0.48604053865047775,-0.4386578187884579,False
V1,f01,200,both,hand_acc_neg,-0.4848484151615086,-0.4326434232477092,False
V1,f01,200,both,z_sensitivity,-0.2991048182339064,-0.2668482775349371,False
V1,f01,200,both,rf_F1_wf,-0.4075544816095638,-0.34918740439687745,False
V1,f01,200,both,logit_F1_wf,-0.41059158473372864,-0.3536776448340899,False
V2,f01,200,both,slope_neg,-0.08062375096546393,-0.08295738405853581,False
V2,f01,200,both,relelev_neg,0.24240681919101803,0.18496889126434046,False
