rule,size_m,score,metric,role_group,median,n_events
center,100,hand_acc_neg,cell_auc,all,0.8982936149885887,7
center,100,hand_acc_neg,cell_auc,development,0.8939040447985735,6
center,100,hand_acc_neg,cell_auc,holdout,0.9314836599314695,1
center,100,hand_acc_neg,object_auc,all,0.8508890754414234,9
center,100,hand_acc_neg,object_auc,development,0.8638788603051771,6
center,100,hand_acc_neg,object_auc,holdout,0.8206152365701942,3
center,100,hand_neg,capture_0.2,all,0.9444444444444444,7
center,100,hand_neg,capture_0.2,development,0.9418168168168168,6
center,100,hand_neg,capture_0.2,holdout,0.959445037353255,1
center,100,hand_neg,cell_auc,all,0.8754245932403725,7
center,100,hand_neg,cell_auc,development,0.8710095492975267,6
center,100,hand_neg,cell_auc,holdout,0.9285547630246367,1
center,100,hand_neg,object_auc,all,0.84652798008457,9
center,100,hand_neg,object_auc,development,0.8706389778916175,6
center,100,hand_neg,object_auc,holdout,0.7956796703644423,3
center,100,impervious,capture_0.2,all,0.2839506172839506,7
center,100,impervious,capture_0.2,development,0.4865699032365699,6
center,100,impervious,capture_0.2,holdout,0.026680896478121666,1
center,100,impervious,cell_auc,all,0.57588988989875,7
center,100,impervious,cell_auc,development,0.6890291713181453,6
center,100,impervious,cell_auc,holdout,0.3968300831893032,1
center,100,impervious,object_auc,all,0.7986423115573349,9
center,100,impervious,object_auc,development,0.7536208856813315,6
center,100,impervious,object_auc,holdout,0.8650845073620824,3
center,100,logit_F1_wf,capture_0.2,all,0.8436762981409015,6
center,100,logit_F1_wf,capture_0.2,development,0.8271604938271605,5
center,100,logit_F1_wf,capture_0.2,holdout,0.8601921024546425,1
center,100,logit_F1_wf,cell_auc,all,0.8466220720211655,6
center,100,logit_F1_wf,cell_auc,development,0.8454839498172433,5
center,100,logit_F1_wf,cell_auc,holdout,0.8477601942250876,1
center,100,logit_F1_wf,object_auc,all,0.8507518346789813,8
center,100,logit_F1_wf,object_auc,development,0.8445551422331852,5
center,100,logit_F1_wf,object_auc,holdout,0.8630710982543647,3
center,100,relelev_neg,capture_0.2,all,0.0,7
center,100,relelev_neg,capture_0.2,development,0.0,6
center,100,relelev_neg,capture_0.2,holdout,0.048025613660619,1
